time;lat;lon;60min_starnet;60min_earth;vulnerability;radarRR;1h_radar;hydroRR;1h_hydro;1h_basin_radar;2h_basin_radar;3h_basin_radar;24h_basin_radar;1h_basin_hydro;2h_basin_hydro;3h_basin_hydro;24h_basin_hydro;flood
2018-05-19 12:30:00;-23.75;-46.93;0.0;1.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;16.92;0.0
2018-05-19 12:30:00;-23.75;-46.78;0.0;0.0;0.0;0.0;2.9;0.0;0.0;1.85;-99;-99;1.85;0.0;0.0;0.0;2.22;0.0
2018-05-19 12:30:00;-23.75;-46.77;0.0;0.0;1.0;0.0;0.8;0.0;0.0;1.85;-99;-99;1.85;0.0;0.0;0.0;2.22;0.0
2018-05-19 12:30:00;-23.75;-46.76;0.0;0.0;1.0;0.0;0.4;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;2.09;0.0
2018-05-19 12:30:00;-23.75;-46.75;0.0;0.0;1.0;0.0;1.43;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;3.33;0.0
2018-05-19 12:30:00;-23.75;-46.74;0.0;0.0;0.0;0.0;1.7;0.0;0.0;1.7;-99;-99;1.7;0.0;0.0;0.0;3.48;0.0
2018-05-19 12:30:00;-23.75;-46.73;0.0;0.0;1.0;0.0;1.67;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;0.9;0.0
2018-05-19 12:30:00;-23.75;-46.72;0.0;0.0;1.0;0.0;0.52;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;6.24;0.0
2018-05-19 12:30:00;-23.75;-46.71;0.0;0.0;0.0;0.0;0.12;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;6.24;0.0
2018-05-19 12:30:00;-23.75;-46.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;6.24;0.0
2018-05-19 12:30:00;-23.75;-46.69;0.0;0.0;1.0;0.0;0.0;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;10.32;0.0
2018-05-19 12:30:00;-23.75;-46.66;0.0;0.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;14.6;0.0
2018-05-19 12:30:00;-23.75;-46.55;0.0;0.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;10.57;0.0
